yr2010,yr2011,yr2012,yr2013,yr2014,yr2015,yr2016,yr2017,yr2018,yr2019,yr2020,hour
11.683626373626375,12.463296703296704,11.934395604395604,12.303626373626376,11.93945054945055,12.393956043956043,11.611868131868132,12.478021978021978,11.794615384615383,11.687472527472528,12.806593406593407,0
11.223406593406594,11.914395604395605,11.434505494505494,11.811538461538461,11.42021978021978,11.77978021978022,11.166703296703297,12.00087912087912,11.171648351648352,11.122417582417583,12.533626373626372,1
10.974175824175823,11.688461538461539,11.14065934065934,11.633076923076922,11.352747252747251,11.647142857142859,11.067032967032967,11.945384615384615,11.043076923076923,11.042197802197803,12.296153846153846,2
10.89978021978022,11.601978021978022,11.11065934065934,11.486593406593407,11.176263736263737,11.42,10.936043956043955,11.754285714285716,10.77956043956044,10.766153846153847,12.068131868131868,3
10.60021978021978,11.211318681318682,10.850439560439561,11.18153846153846,10.886373626373626,11.11,10.68967032967033,11.469780219780219,10.42043956043956,10.416923076923078,11.898571428571428,4
10.493406593406593,11.092967032967033,10.76956043956044,11.047362637362639,10.838021978021978,11.06076923076923,10.668791208791209,11.437252747252748,10.372637362637363,10.397252747252747,11.714615384615385,5
10.584725274725274,11.244395604395605,10.908131868131868,11.204615384615385,11.012527472527472,11.306813186813187,10.838901098901099,11.672857142857143,10.588791208791209,10.572307692307692,11.934615384615384,6
10.599010989010988,11.29824175824176,10.94120879120879,11.194395604395604,11.087142857142856,11.4889010989011,10.87923076923077,11.821428571428571,10.722307692307693,10.667912087912088,12.632527472527473,7
13.297252747252747,14.046593406593407,13.902967032967034,13.623736263736264,13.590659340659341,14.071868131868131,12.784725274725275,14.222197802197803,13.213406593406594,12.972087912087913,14.043076923076924,8
13.52901098901099,14.282087912087913,14.033296703296703,14.119120879120878,14.552527472527473,15.197912087912087,13.567912087912088,15.321868131868131,14.333736263736265,14.017362637362636,14.990439560439562,9
14.880879120879122,15.716593406593407,15.373076923076924,15.354835164835164,16.29164835164835,16.94120879120879,14.853956043956044,16.856923076923078,15.96043956043956,15.605054945054944,15.838021978021978,10
16.04164835164835,17.067252747252745,16.684945054945054,16.32901098901099,17.106923076923078,17.666923076923077,15.342747252747253,17.386593406593406,16.51,16.09098901098901,16.808131868131866,11
16.38186813186813,17.54186813186813,17.046263736263736,16.830219780219778,17.98956043956044,18.465274725274725,15.99989010989011,18.208681318681318,17.338901098901097,16.88010989010989,17.66813186813187,12
16.903186813186814,18.163626373626375,17.64142857142857,17.326593406593407,18.72120879120879,19.146923076923077,16.543516483516484,18.926483516483515,17.987142857142857,17.571868131868133,18.127362637362637,13
17.063736263736264,18.384615384615383,17.908351648351648,17.4878021978022,18.814395604395603,19.23087912087912,16.597362637362636,19.102747252747253,18.05956043956044,17.623516483516482,18.35208791208791,14
17.07923076923077,18.406593406593405,17.94901098901099,17.43032967032967,18.74131868131868,19.183736263736265,16.501648351648353,19.083076923076923,18.12,17.46164835164835,18.326263736263737,15
16.593956043956045,17.895274725274724,17.48076923076923,16.927582417582418,17.94065934065934,18.212527472527473,15.777692307692307,18.15934065934066,17.35076923076923,16.6021978021978,18.072747252747256,16
15.913076923076922,17.094285714285714,16.72241758241758,16.464835164835165,17.615384615384617,18.046923076923076,15.656813186813187,18.025274725274723,17.205824175824176,16.52934065934066,17.56087912087912,17
15.672747252747254,16.76879120879121,16.386263736263736,15.906153846153847,16.59879120879121,17.045934065934066,14.897032967032969,17.006153846153847,16.12186813186813,15.532967032967033,16.521428571428572,18
15.53978021978022,16.593406593406595,16.163406593406595,15.792637362637365,16.433516483516485,16.8521978021978,14.776593406593408,16.785054945054945,15.902857142857144,15.301428571428572,15.487472527472526,19
13.164175824175825,14.06131868131868,13.524285714285714,13.764395604395604,14.119120879120878,14.724505494505495,13.15230769230769,14.687142857142858,13.92131868131868,13.458461538461538,14.587692307692308,20
13.021318681318682,13.90802197802198,13.394505494505495,13.497032967032967,13.57846153846154,14.155274725274726,12.724175824175825,14.036263736263736,13.20153846153846,12.906153846153847,14.146703296703295,21
12.164835164835164,13.044945054945053,12.54021978021978,12.781648351648354,12.61065934065934,13.184505494505494,12.064175824175823,13.142527472527473,12.34142857142857,12.183846153846154,13.699120879120878,22
11.79967032967033,12.598351648351649,12.170769230769231,12.474725274725275,12.398791208791208,12.952527472527473,11.9389010989011,13.032417582417583,12.212747252747251,12.07967032967033,13.28098901098901,23
